CustomerID,churn_probability
4160-AMJTL,0.1642
4464-JCOLN,0.1738
5650-VDUDS,0.5165
7538-GWHML,0.6943
3859-CVCET,0.2961
3276-HDUEG,0.8002
0823-HSCDJ,0.3031
0822-GAVAP,0.7477
1448-PWKYE,0.8672
0067-DKWBL,0.5331
2276-YDAVZ,0.7204
5896-NPFWW,0.6108
7133-VBDCG,0.2748
1029-QFBEN,0.281
4952-YSOGZ,0.8448
1589-AGTLK,0.494
5244-IRFIH,0.689
2684-EIWEO,0.2401
6439-GTPCA,0.3226
5138-WVKYJ,0.5777
6683-VLCTZ,0.689
2189-WWOEW,0.512
1894-IGFSG,0.4817
7379-POKDZ,0.7837
0236-HFWSV,0.7249
3900-AQPHZ,0.2814
5842-POCOP,0.6575
2037-XJFUP,0.4044
7314-OXENN,0.8
0322-CHQRU,0.4882
4678-DVQEO,0.6003
0691-IFBQW,0.2993
3009-JWMPU,0.28
1450-GALXR,0.6915
3138-BKYAV,0.6849
4289-DTDKW,0.6188
1820-TQVEV,0.8032
2239-JALAW,0.2314
4853-RULSV,0.0458
6275-YDUVO,0.755
0115-TFERT,0.6786
2311-QYMUQ,0.5595
3643-AHCFP,0.8297
3104-OWCGK,0.1812
9101-BWFSS,0.2208
9231-ZJYAM,0.7771
6982-SSHFK,0.4837
0727-BMPLR,0.3187
1038-ZAGBI,0.0787
3027-ZTDHO,0.881
2382-BCKQJ,0.2816
2207-NHRJK,0.5381
0947-MUGVO,0.5431
9944-HKVVB,0.8175
4124-MMETB,0.5801
3671-SHRSP,0.6261
3313-QKNKB,0.2413
5073-WXOYN,0.2739
0207-MDKNV,0.42
9851-KIELU,0.527
3908-BLSYF,0.5956
7549-MYGPK,0.388
3804-RVTGV,0.4805
9227-LUNBG,0.6686
4315-MURBD,0.4834
9734-YWGEX,0.6126
2719-BDAQO,0.4311
0781-LKXBR,0.786
1907-UBQFC,0.5309
6513-EECDB,0.9104
7074-IEVOJ,0.7806
9625-QSTYE,0.4958
4750-ZRXIU,0.8254
6400-BWQKW,0.6507
6680-WKXRZ,0.6677
7028-DVOIQ,0.5878
4208-UFFGW,0.3859
9448-REEVD,0.5604
9117-SHLZX,0.5432
9889-TMAHG,0.4096
4541-RMRLG,0.1585
3158-MOERK,0.8865
7294-TMAOP,0.853
8919-FYFQZ,0.3012
2834-JRTUA,0.0819
5875-YPQFJ,0.8128
6646-QVXLR,0.3779
8603-IJWDN,0.8896
9369-XFEHK,0.4892
3842-IYKUE,0.2217
6641-XRPSU,0.2925
1374-DMZUI,0.8569
8357-EQXFO,0.7234
1989-PRJHP,0.6117
9524-EGPJC,0.5492
6993-OHLXR,0.6907
8818-XYFCQ,0.5228
4695-VADHF,0.3228
3863-IUBJR,0.1763
4822-RVYBB,0.7773
8436-BJUMM,0.6543
4184-TJFAN,0.6805
4145-UQXUQ,0.727
9948-YPTDG,0.3388
1236-WFCDV,0.5042
4883-QICIH,0.39
8329-IBCTI,0.2814
1271-SJBGZ,0.4743
5669-SRAIP,0.5259
5981-ITEMU,0.5881
6941-PMGEP,0.6893
1624-WOIWJ,0.4042
2074-GKOWZ,0.8582
0376-YMCJC,0.5035
0634-SZPQA,0.4386
5536-RTPWK,0.5388
6166-ILMNY,0.6452
3097-NNSPB,0.4452
0655-RBDUG,0.7488
4361-BKAXE,0.3009
9878-TNQGW,0.8043
4441-NIHPT,0.5519
8999-BOHSE,0.517
7029-RPUAV,0.7408
4607-CHPCA,0.5009
8824-RWFXJ,0.5089
9763-PDTKK,0.5292
7627-JKIAZ,0.4389
4081-DYXAV,0.2754
8111-SLLHI,0.64
0927-LCSMG,0.4131
8257-RZAHR,0.4134
5293-WXJAK,0.7265
0841-NULXI,0.8015
7851-WZEKY,0.8865
8844-TONUD,0.6734
4086-YQSNZ,0.8359
5868-CZJDR,0.6571
0135-NMXAP,0.6398
6270-OMFIW,0.2871
0107-WESLM,0.4438
3992-YWPKO,0.6849
0125-LZQXK,0.5581
8399-YNDCH,0.2558
5673-FSSMF,0.7485
1579-KLYDT,0.7255
3927-NLNRY,0.2553
6358-LYNGM,0.8554
5494-HECPR,0.8623
9824-BEMCV,0.5759
1373-ORVIZ,0.528
9866-QEVEE,0.5331
9897-KXHCM,0.8487
7979-CORPM,0.4831
1618-CFHME,0.8055
3165-HDOEW,0.6617
6581-NQCBA,0.5993
1689-MRZQR,0.4156
5835-BEQEU,0.7859
5565-FILXA,0.7225
5552-ZNFSJ,0.5462
2223-KAGMX,0.093
7321-PKUYW,0.5142
2833-SLKDQ,0.4521
7595-EUIVN,0.7423
2026-TGDHM,0.6581
4030-VPZBD,0.6286
4187-CINZD,0.1512
6818-WOBHJ,0.3731
2408-TZMJL,0.287
9134-CEQMF,0.8088
7993-PYKOF,0.5287
5027-XWQHA,0.3098
4566-QVRRW,0.3898
8519-IMDHU,0.6877
0201-OAMXR,0.0932
3372-KWFBM,0.6611
7831-QGOXH,0.618
6393-WRYZE,0.6684
6599-RCLCJ,0.4895
9831-BPFRI,0.2624
1725-MIMXW,0.3603
0031-PVLZI,0.2367
7206-GZCDC,0.8265
4791-QRGMF,0.3444
1768-ZAIFU,0.7749
4671-LXRDQ,0.4896
1934-SJVJK,0.281
3838-OZURD,0.4426
9269-CQOOL,0.5194
2845-HSJCY,0.7751
1184-PJVDB,0.6942
9415-DPEWS,0.5576
7943-RQCHR,0.7508
3793-MMFUH,0.7568
3249-ZPQRG,0.6384
2568-BRGYX,0.6782
7721-JXEAW,0.2156
7249-WBIYX,0.7746
6567-HOOPW,0.8714
3164-AALRN,0.2967
3334-CTHOL,0.6512
4704-ERYFC,0.5393
8621-MNIHH,0.5874
0471-LVHGK,0.2702
9518-RWHZL,0.2126
5419-CONWX,0.7168
6240-EURKS,0.4787
6960-HVYXR,0.8164
7024-OHCCK,0.8962
7861-UVUFT,0.6725
5357-TZHPP,0.619
0680-DFNNY,0.7933
7767-UXAGJ,0.7355
1571-SAVHK,0.6163
9546-CQJSU,0.8588
0506-LVNGN,0.6056
2951-QOQTK,0.5175
3473-XIIIT,0.7708
7893-IXHRQ,0.3763
2952-QAYZF,0.6818
4763-PGDPO,0.6025
5394-SVGJV,0.3296
9283-LZQOH,0.6319
7079-QRCBC,0.6496
5469-CTCWN,0.2899
9851-QXEEQ,0.4993
9809-IMGCQ,0.6635
5208-HFSBT,0.3949
3254-YRILK,0.6044
2667-WYLWJ,0.1167
0529-ONKER,0.5116
5240-IJOQT,0.8675
1092-GANHU,0.468
0661-XEYAN,0.7261
7881-EVUAD,0.6578
5766-XQXMQ,0.152
3703-VAVCL,0.7113
8519-QJGJD,0.4298
6326-MTTXK,0.7159
0330-IVZHA,0.6576
2886-KEFUM,0.3485
4237-RLAQD,0.5529
9651-GTSAQ,0.2056
3186-BAXNB,0.7644
0637-YLETY,0.5305
1157-BQCUW,0.8563
2660-EMUBI,0.7628
7675-OZCZG,0.4604
2003-CKLOR,0.2702
9254-RBFON,0.3579
1205-WNWPJ,0.2968
9391-EOYLI,0.7215
8387-MOJJT,0.3858
2761-OCIAX,0.7564
3068-OMWZA,0.8953
6032-KRXXO,0.5256
7459-RRWQZ,0.3277
4154-AQUGT,0.5759
3092-IGHWF,0.172
8017-LXHFA,0.5572
6352-TWCAU,0.4935
2929-QNSRW,0.3759
1262-OPMFY,0.5758
4248-QPAVC,0.5283
1899-VXWXM,0.2402
4690-LLKUA,0.2805
3331-HQDTW,0.4186
9490-DFPMD,0.4828
5442-XSDCW,0.6139
3049-NDXFL,0.7918
8580-AECUZ,0.871
7963-GQRMY,0.4456
1228-FZFRV,0.3836
2058-DCJBE,0.641
5364-XYIRR,0.5909
4829-AUOAX,0.3687
5047-LHVLY,0.6043
9158-VCTQB,0.389
6311-UEUME,0.4352
6839-ITVZJ,0.2843
0375-HVGXO,0.8016
8593-WHYHV,0.8162
6097-EQISJ,0.2803
4423-YLHDV,0.6453
0107-YHINA,0.9161
8640-SDGKB,0.5421
4116-TZAQJ,0.3818
3877-JRJIP,0.7675
8375-DKEBR,0.8099
7511-YMXVQ,0.5808
7551-JOHTI,0.299
9804-ICWBG,0.7994
5318-IXUZF,0.7405
3198-VELRD,0.8619
9436-ZBZCT,0.6112
7279-BUYWN,0.4454
7156-MHUGY,0.6898
7198-GLXTC,0.7597
0516-VRYBW,0.04
8380-PEFPE,0.8128
5687-DKDTV,0.1671
7530-HDYDS,0.1687
3096-IZETN,0.4426
5922-ABDVO,0.5447
9172-ANCRX,0.7035
6910-HADCM,0.7594
4816-LXZYW,0.4862
9606-PBKBQ,0.6133
3536-IQCTX,0.5659
4911-BANWH,0.4564
8496-EJAUI,0.353
3132-TVFDZ,0.4239
8080-DDEMJ,0.5683
6365-MTGZX,0.4843
1349-WXNGG,0.3127
6990-YNRIO,0.0727
0621-TWIEM,0.3026
2485-ITVKB,0.803
3669-OYSJI,0.4696
1612-EOHDH,0.5549
6702-OHFWR,0.7995
4510-PYUSH,0.0929
7517-SAWMO,0.4624
4143-HHPMK,0.2776
7054-LGEQW,0.4689
0923-PNFUB,0.6716
3494-JCHRQ,0.8091
6474-FVJLC,0.854
8840-DQLGN,0.3949
4547-LYTDD,0.5048
6770-XUAGN,0.5552
4193-ORFCL,0.4688
7776-QWNFX,0.2164
6689-TCZHQ,0.6525
3143-ILDAL,0.3109
4720-VSTSI,0.3069
3946-MHCZW,0.4837
6651-AZVTJ,0.5986
4566-GOLUK,0.4867
2484-DGXPZ,0.1022
4587-NUKOX,0.6084
0420-BWTPW,0.2897
8183-ONMXC,0.7493
9614-RMGHA,0.3648
5054-IEXZT,0.7817
5834-ASPWA,0.8522
3948-XHGNA,0.1374
0565-IYCGT,0.0392
5445-UTODQ,0.7499
1024-VRZHF,0.6945
9497-QCMMS,0.9293
0348-SDKOL,0.4256
4373-MAVJG,0.6649
8901-HJXTF,0.3602
5419-KLXBN,0.4727
3424-NMNBO,0.3307
4514-GFCFI,0.6615
9828-AOQLM,0.7289
8000-REIQB,0.8256
7615-ESMYF,0.821
3858-VOBET,0.5115
1447-PJGGA,0.1204
8565-CLBZW,0.4735
9139-WQQDY,0.2742
0224-HJAPT,0.4524
8086-OVPWV,0.8043
9430-FRQOC,0.6252
3074-GQWYX,0.6643
6845-RGTYS,0.4177
8861-HGGKB,0.5799
7065-YUNRY,0.5661
7694-VLBWQ,0.2754
4795-KTRTH,0.809
6481-OGDOO,0.1254
3753-TSEMP,0.654
8305-VHZBZ,0.3684
9172-JITSM,0.636
6298-QDFNH,0.5111
9961-JBNMK,0.5724
6173-ITPWD,0.3829
9734-UYXQI,0.6161
2189-UXTKY,0.4214
4958-GZWIY,0.3665
6356-ELRKD,0.8505
8624-GIOUT,0.1035
6179-GJPSO,0.2241
3177-LASXD,0.7489
4897-QSUYC,0.378
1084-UQCHV,0.7034
8290-YWKHZ,0.7187
2955-BJZHG,0.579
3806-DXQOM,0.4763
9300-RENDD,0.8614
0761-AETCS,0.3615
2153-MREFK,0.2999
3106-ULWFW,0.7178
0925-VYDLG,0.7174
4349-GFQHK,0.6634
7802-EFKNY,0.6479
8035-BUYVG,0.1472
9787-XVQIU,0.864
8945-MUQUF,0.1651
8051-HJRLT,0.8256
3023-GFLBR,0.4228
0524-IAVZO,0.6651
2737-YNGYW,0.7493
5159-YFPKQ,0.7636
4021-RQSNY,0.727
9061-TIHDA,0.8216
8699-ASUFO,0.721
7927-AUXBZ,0.2974
4695-WJZUE,0.86
7619-ODSGN,0.049
3988-RQIXO,0.8872
2514-GINMM,0.8364
5931-FLJJF,0.6129
2659-VXMWZ,0.2919
3207-OYBWH,0.433
4285-GYRQC,0.7466
7216-EWTRS,0.9475
8337-MSSXB,0.5635
8182-BJDSI,0.5
2528-HFYZX,0.5579
2482-CZGBB,0.5223
0866-QLSIR,0.0491
7181-BQYBV,0.9305
6204-IEUXJ,0.5173
4529-CKBCL,0.8159
2506-CLAKW,0.4654
1583-IHQZE,0.6079
0151-ONTOV,0.6735
4140-MUHUG,0.8062
0320-JDNQG,0.5445
7180-PISOG,0.8949
3571-RFHAR,0.3587
9578-VRMNM,0.3497
1587-FKLZB,0.4695
6140-QNRQQ,0.7542
4307-KTUMW,0.3673
5440-FLBQG,0.1255
7470-MCQTK,0.629
7488-MXJIV,0.7948
2027-FECZV,0.7172
2672-DZUOY,0.7517
3870-MQAMG,0.2436
4800-CZMPC,0.2797
7377-DMMRI,0.4608
8949-JTMAY,0.536
2774-LVQUS,0.6533
3211-ILJTT,0.5113
4612-THJBS,0.2804
4094-NSEDU,0.6886
5103-MHMHY,0.3263
1846-XWOQN,0.8361
0235-KGSLC,0.8117
2884-GBPFB,0.4508
3757-NJYBX,0.5366
5136-KCKGI,0.3771
3722-WPXTK,0.8845
2929-ERCFZ,0.7782
7548-SEPYI,0.766
8835-VSDSE,0.8258
1623-NLDOT,0.0769
9898-KZQDZ,0.5794
5236-PERKL,0.0866
7854-FOKSF,0.7484
2519-FAKOD,0.4817
8263-JQAIK,0.6194
7089-IVVAZ,0.6096
2205-YMZZJ,0.7756
1254-IZEYF,0.5882
9492-TOKRI,0.5136
9221-OTIVJ,0.7405
3325-FUYCG,0.3318
5908-QMGOE,0.5194
8481-YYXWG,0.611
2609-IAICY,0.8513
1740-CSDJP,0.7622
2636-OHFMN,0.7787
1323-OOEPC,0.4535
0397-GZBBC,0.5169
7641-EUYET,0.4581
9921-ZVRHG,0.5791
4701-MLJPN,0.1496
9206-GVPEQ,0.5268
1596-BBVTG,0.2725
8433-WXGNA,0.6818
3707-GNWHM,0.8113
8922-LIEGH,0.5417
8245-UMPYT,0.7225
5186-SAMNZ,0.7836
5373-SFODM,0.5373
5766-ZJYBB,0.2852
8931-GJJIQ,0.7013
4277-PVRAN,0.5846
0022-TCJCI,0.0463
0203-HHYIJ,0.0452
0952-KMEEH,0.5105
8178-EYZUO,0.3532
5130-IEKQT,0.4649
3230-WYKIR,0.2135
0407-BDJKB,0.4692
9600-UDOPK,0.6284
4074-SJFFA,0.6473
3269-ATYWD,0.4951
4910-GMJOT,0.9172
0354-WYROK,0.5877
7576-OYWBN,0.7872
5539-TMZLF,0.803
4323-SADQS,0.0972
4446-BZKHU,0.5228
5202-IVJNU,0.072
5976-JCJRH,0.623
0137-OCGAB,0.799
3351-NQLDI,0.1437
7593-JNWRU,0.1057
4588-YBNIB,0.378
3336-JORSO,0.5165
5028-GZLDO,0.5948
6861-XWTWQ,0.8589
6877-TJMBR,0.8765
6769-DCQLI,0.1459
2433-KMEAS,0.2464
2195-ZRVAX,0.478
3550-SAHFP,0.4891
2011-TRQYE,0.2895
4873-ILOLJ,0.5347
2725-KXXWT,0.9203
9565-DJPIB,0.648
8348-HFYIV,0.7984
6849-WLEYG,0.1434
4659-NZRUF,0.4965
8429-XIBUM,0.5221
2608-BHKFN,0.608
7341-LXCAF,0.8173
9462-MJUAW,0.4049
8128-YVJRG,0.529
4283-FUTGF,0.5833
1569-TTNYJ,0.7722
2397-BRLOM,0.6506
4749-VFKVB,0.6737
7598-UAASY,0.7727
7938-OUHIO,0.7745
8510-AWCXC,0.6788
0431-APWVY,0.4335
3426-NIYYL,0.2936
8225-BTJAU,0.6081
3387-VATUS,0.7866
1143-NMNQJ,0.8474
0415-MOSGF,0.4554
1724-BQUHA,0.7731
4826-XTSOH,0.9304
2495-INZWQ,0.7178
4139-SUGLD,0.0248
6857-VWJDT,0.8525
5624-BQSSA,0.299
2408-WITXK,0.5501
5577-OTWWW,0.0929
6100-QQHEB,0.7761
2634-HCZGT,0.0814
7503-QQRVF,0.4948
2691-NZETQ,0.6715
4404-HIBDJ,0.0473
7295-JOMMD,0.6903
5013-SBUIH,0.0898
0709-TVGUR,0.6552
6023-YEBUP,0.8646
7209-JCUDS,0.6625
3001-CBHLQ,0.6415
6158-DWPZT,0.2465
3763-GCZHZ,0.2977
0772-GYEQQ,0.6579
4831-EOBFE,0.3943
4102-OQUPX,0.9104
9170-GYZJC,0.0181
3999-QGRJH,0.576
2454-RPBRZ,0.771
2002-MZHWP,0.299
2265-CYWIV,0.8822
2004-OCQXK,0.8485
5027-QPKTE,0.6911
2672-HUYVI,0.751
7508-MYBOG,0.7445
0148-DCDOS,0.5659
9992-RRAMN,0.662
0310-MVLET,0.5667
4550-VBOFE,0.5237
5696-QURRL,0.5693
7409-KIUTL,0.8099
1732-VHUBQ,0.2664
0495-RVCBF,0.8623
7854-EDSSA,0.1534
8869-TORSS,0.029
0679-IDSTG,0.8771
2115-BFTIW,0.2312
0611-DFXKO,0.6125
7780-OTDSO,0.7287
9747-DDZOS,0.6914
0564-JJHGS,0.7419
3348-CFRNX,0.4751
1428-GTBJJ,0.5004
8802-UNOJF,0.3664
6313-GIDIT,0.3099
2845-AFFTX,0.6415
2249-YPRNG,0.6697
7410-YTJIK,0.5267
4626-GYCZP,0.7755
5590-BYNII,0.6042
3237-AJGEH,0.1798
1591-NFNLQ,0.2117
2815-CPTUL,0.594
0596-BQCEQ,0.4655
1481-ZUWZA,0.3317
2309-OSFEU,0.4039
1891-FZYSA,0.4574
7613-LLQFO,0.6891
2640-PMGFL,0.3958
3801-HMYNL,0.8582
9685-WKZGT,0.6051
6022-UGGSO,0.355
4484-CGXFK,0.5862
6214-EDAKZ,0.0302
6127-ISGTU,0.7384
8740-XLHDR,0.3203
1208-DNHLN,0.1859
1761-AEZZR,0.8567
3923-CSIHK,0.3809
7120-RFMVS,0.8633
7317-GGVPB,0.09
1322-AGOQM,0.1197
3677-IYRBF,0.7076
5692-FPTAH,0.5549
1550-LOAHA,0.3818
0268-QKIWO,0.2611
0876-WDUUZ,0.5518
0617-FHSGK,0.2227
2858-MOFSQ,0.1456
8118-LSUEL,0.6515
7005-CCBKV,0.6423
4250-FDVOU,0.2479
5277-ZLOOR,0.875
2141-RRYGO,0.5447
6376-GAHQE,0.6771
5052-PNLOS,0.8117
6979-ZNSFF,0.7086
2386-LAHRK,0.626
6032-IGALN,0.6659
4248-HCETZ,0.3783
0516-WJVXC,0.2338
9174-FKWZE,0.4962
8809-RIHDD,0.1697
4822-NGOCH,0.588
5307-DZCVC,0.5766
8679-JOEVF,0.2615
1432-FPAXX,0.2734
4803-AXVYP,0.5126
3884-HCSWG,0.4786
5077-DXTCG,0.6437
1142-WACZW,0.4792
5649-ANRML,0.7001
4892-VLANZ,0.2925
2919-HBCJO,0.6281
4236-XPXAV,0.6842
3030-YZADT,0.1884
7410-KTVFV,0.2709
8393-DLHGA,0.5519
7395-IGJOS,0.5357
2834-SPCJV,0.2727
7890-VYYWG,0.7355
9907-SWKKF,0.6069
0587-DMGBH,0.3042
6397-JNZZG,0.2837
3523-QRQLL,0.2317
0895-DQHEW,0.562
8149-RSOUN,0.9172
7250-EQKIY,0.155
4013-UBXWQ,0.5347
5519-NPHVG,0.7627
8849-GYOKR,0.2101
3148-BLQJT,0.281
0461-CVKMU,0.3209
8806-EAGWC,0.3897
7779-LGOVN,0.7591
9710-ZUSHQ,0.4274
4183-WCSEP,0.2638
5498-TXHLF,0.5411
9722-UJOJR,0.4644
3902-FOIGH,0.8245
6772-KSATR,0.8074
7112-OPOTK,0.2626
4210-QFJMF,0.7307
3318-OSATS,0.5799
5828-AVIPD,0.5494
1086-LXKFY,0.8198
2636-ALXXZ,0.8303
7774-OJSXI,0.4107
7786-WBJYI,0.5999
9885-CSMWE,0.7966
5016-ETTFF,0.2639
3866-MDTUB,0.6363
8058-JMEQO,0.6983
0697-ZMSWS,0.8137
7657-DYEPJ,0.0692
8276-MQBYC,0.5
7593-XFKDI,0.467
0337-CNPZE,0.5095
1513-XNPPH,0.5509
6015-VVHHE,0.7529
6347-DCUIK,0.4999
0897-FEGMU,0.8262
7663-RGWBC,0.5693
1120-BMWUB,0.1609
9124-LHCJQ,0.8603
2235-ZGKPT,0.1316
3891-PUQOD,0.4447
0689-NKYLF,0.5763
3658-KIBGF,0.5563
5519-YLDGW,0.661
4946-EDSEW,0.0314
2516-VQRRV,0.7601
7580-UGXNC,0.3404
5178-LMXOP,0.9511
8185-UPYBR,0.7709
4585-HETAI,0.7671
7526-BEZQB,0.7479
4951-UKAAQ,0.7719
2108-YKQTY,0.2869
4918-QLLIW,0.3896
7056-IMHCC,0.5816
1625-JAIIY,0.3037
2947-DOMLJ,0.2104
4112-LUEIZ,0.6585
4510-HIMLV,0.8091
8749-JMNKX,0.4485
2430-USGXP,0.7177
5955-ERIHD,0.7684
0917-EZOLA,0.1456
5949-EBSQK,0.0907
7274-RTAPZ,0.8922
0311-UNPFF,0.4825
3834-XUIFC,0.6407
8414-MYSHR,0.786
7599-FKVXZ,0.48
8229-TNIQA,0.4001
6221-AVQYL,0.7596
7743-EXURX,0.1135
5569-KGJHX,0.7372
4988-IQIGL,0.8675
7730-IUTDZ,0.2359
0426-TIRNE,0.2814
7587-RZNME,0.4976
0748-RDGGM,0.1223
4706-AXVKM,0.6125
5889-JTMUL,0.5415
9026-RNUJS,0.3651
3746-EUBYR,0.873
2332-EFBJY,0.1125
9474-PHLYD,0.341
2165-VOEGB,0.1324
2219-MVUSO,0.2575
8914-RBTSB,0.4975
0963-ZBDRN,0.4121
7594-RQHXR,0.857
6331-EWIEB,0.5983
5998-VVEJY,0.4188
1624-NALOJ,0.7658
4317-VTEOA,0.6219
1670-SVOWZ,0.454
7541-YLXCL,0.0678
0260-ZDLGK,0.2072
8722-NGNBH,0.2415
6210-KBBPI,0.7122
0133-BMFZO,0.646
6128-CZOMY,0.6567
9540-JYROE,0.4787
2260-USTRB,0.7334
3656-TKRVZ,0.3141
8623-TMRBY,0.4529
1501-SGHBW,0.3804
3208-YPIOE,0.3308
2612-RANWT,0.7013
6900-PXRMS,0.6388
3346-BRMIS,0.66
2933-FILNV,0.2364
9986-BONCE,0.1791
2722-JMONI,0.6545
4083-EUGRJ,0.1042
7579-OOPEC,0.5128
1771-OADNZ,0.6156
0612-RTZZA,0.712
6410-LEFEN,0.2582
3194-ORPIK,0.4642
8816-VXNZD,0.8688
9378-FXTIZ,0.1721
1723-HKXJQ,0.5133
7825-GKXMW,0.5787
1240-KNSEZ,0.3434
0836-SEYLU,0.3994
4433-JCGCG,0.6434
3716-BDVDB,0.8091
5899-MQZZL,0.5449
6849-OYAMU,0.2888
9488-HGMJH,0.8099
6038-GCYEC,0.3648
1150-WFARN,0.0752
3144-AUDBS,0.4365
5616-PRTNT,0.0757
4818-QIUFN,0.4732
6961-VCPMC,0.4696
6688-UZPWD,0.8212
2839-RFSQE,0.2246
0968-GSIKN,0.7512
1965-DDBWU,0.4627
9057-SIHCH,0.8634
6771-XWBDM,0.4995
8601-QACRS,0.392
2391-SOORI,0.1649
2645-QTLMB,0.696
4806-HIPDW,0.8758
4424-TKOPW,0.8954
8443-ZRDBZ,0.7547
9136-ALYBR,0.6675
7479-NITWS,0.6802
2959-MJHIC,0.8108
4201-JMNGR,0.5626
5960-WPXQM,0.8404
0684-AOSIH,0.8947
8260-NGFNY,0.5989
1866-RZZQS,0.5573
8631-NBHFZ,0.016
4958-XCBDQ,0.5878
8337-UPOAQ,0.7812
1725-IQNIY,0.0484
6598-RFFVI,0.1157
6712-OAWRH,0.5548
8614-VGMMV,0.3716
2930-UOTMB,0.0793
5914-DVBWJ,0.4884
