rank,CustomerID,churn_probability,risk_band,Contract,Tenure Months,Monthly Charges,Payment Method
44,7398-SKNQZ,0.8841,Critical,Month-to-month,3,94.9,Electronic check
45,3178-FESZO,0.884,Critical,Month-to-month,1,100.25,Credit card (automatic)
46,7577-SWIFR,0.8835,Critical,Month-to-month,1,89.25,Electronic check
47,1455-ESIQH,0.8835,Critical,Month-to-month,1,89.1,Electronic check
48,2265-CYWIV,0.8822,Critical,Month-to-month,4,99.6,Electronic check
49,8775-ERLNB,0.8816,Critical,Month-to-month,1,74.3,Electronic check
50,3027-ZTDHO,0.881,Critical,Month-to-month,1,89.9,Electronic check
51,2656-TABEH,0.8787,Critical,Month-to-month,4,100.2,Electronic check
52,3097-NQYSN,0.8784,Critical,Month-to-month,2,86.85,Mailed check
53,6108-OQZDQ,0.8782,Critical,Month-to-month,4,97.95,Electronic check
54,0679-IDSTG,0.8771,Critical,Month-to-month,1,69.25,Electronic check
55,6877-TJMBR,0.8765,Critical,Month-to-month,1,84.8,Electronic check
56,4806-HIPDW,0.8758,Critical,Month-to-month,1,68.95,Electronic check
57,5277-ZLOOR,0.875,Critical,Month-to-month,2,85.55,Electronic check
58,3746-EUBYR,0.873,Critical,Month-to-month,1,74.6,Bank transfer (automatic)
59,9507-EXLTT,0.8726,Critical,Month-to-month,1,79.35,Bank transfer (automatic)
60,5150-ITWWB,0.8724,Critical,Month-to-month,3,94.85,Electronic check
61,1833-VGRUM,0.8717,Critical,Month-to-month,1,74.2,Electronic check
62,2545-EBUPK,0.8714,Critical,Month-to-month,2,84.05,Electronic check
63,6567-HOOPW,0.8714,Critical,Month-to-month,1,79.2,Electronic check
64,7903-CMPEY,0.8712,Critical,Month-to-month,1,80.3,Electronic check
65,8580-AECUZ,0.871,Critical,Month-to-month,1,79.1,Electronic check
66,8098-LLAZX,0.8689,Critical,Month-to-month,4,95.45,Electronic check
67,8816-VXNZD,0.8688,Critical,Month-to-month,1,75.1,Electronic check
68,7218-HKQFK,0.8683,Critical,Month-to-month,2,94.2,Electronic check
69,2506-TNFCO,0.8681,Critical,Month-to-month,1,69.55,Electronic check
70,3006-XIMLN,0.8679,Critical,Month-to-month,2,94.2,Bank transfer (automatic)
71,8473-VUVJN,0.8675,Critical,Month-to-month,1,73.65,Electronic check
72,4988-IQIGL,0.8675,Critical,Month-to-month,1,75.35,Electronic check
73,5240-IJOQT,0.8675,Critical,Month-to-month,1,74.7,Electronic check
74,3422-LYEPQ,0.8674,Critical,Month-to-month,1,71.0,Electronic check
75,6416-TVAIH,0.8674,Critical,Month-to-month,1,68.5,Electronic check
76,5134-IKDAY,0.8673,Critical,Month-to-month,1,69.8,Electronic check
77,6372-RFVNS,0.8673,Critical,Month-to-month,1,78.8,Electronic check
78,1448-PWKYE,0.8672,Critical,Month-to-month,1,80.0,Electronic check
79,6496-SLWHQ,0.8669,Critical,Month-to-month,3,105.0,Electronic check
80,4415-IJZTP,0.8667,Critical,Month-to-month,1,74.5,Electronic check
81,1447-GIQMR,0.866,Critical,Month-to-month,1,69.15,Electronic check
82,6023-YEBUP,0.8646,Critical,Month-to-month,3,100.95,Electronic check
83,1452-VOQCH,0.864,Critical,Month-to-month,1,75.1,Electronic check
84,9787-XVQIU,0.864,Critical,Month-to-month,1,75.3,Electronic check
85,8372-JUXUI,0.864,Critical,Month-to-month,1,74.35,Electronic check
86,1393-IMKZG,0.8638,Critical,Month-to-month,1,95.85,Electronic check
87,9057-SIHCH,0.8634,Critical,Month-to-month,3,96.6,Electronic check
88,7120-RFMVS,0.8633,Critical,Month-to-month,1,84.5,Electronic check
89,3551-HUAZH,0.8631,Critical,Month-to-month,1,74.4,Electronic check
90,9248-OJYKK,0.8631,Critical,Month-to-month,1,76.45,Electronic check
91,6894-LFHLY,0.8631,Critical,Month-to-month,1,75.75,Electronic check
92,6230-BSUXY,0.8631,Critical,Month-to-month,1,85.0,Electronic check
93,1363-TXLSL,0.863,Critical,Month-to-month,1,70.3,Electronic check
94,0495-RVCBF,0.8623,Critical,Month-to-month,1,79.7,Electronic check
95,0021-IKXGC,0.8623,Critical,Month-to-month,1,72.1,Electronic check
96,5494-HECPR,0.8623,Critical,Month-to-month,1,80.25,Electronic check
97,6630-UJZMY,0.8621,Critical,Month-to-month,4,83.25,Electronic check
98,3198-VELRD,0.8619,Critical,Month-to-month,3,84.75,Bank transfer (automatic)
99,9399-APLBT,0.8614,Critical,Month-to-month,1,74.7,Electronic check
100,9300-RENDD,0.8614,Critical,Month-to-month,1,79.95,Electronic check
101,8740-CRYFY,0.8606,Critical,Month-to-month,1,78.95,Electronic check
102,1853-UDXBW,0.8603,Critical,Month-to-month,1,70.0,Electronic check
103,9124-LHCJQ,0.8603,Critical,Month-to-month,1,85.45,Mailed check
104,4695-WJZUE,0.86,Critical,Month-to-month,2,88.55,Electronic check
105,6861-XWTWQ,0.8589,Critical,Month-to-month,7,99.25,Electronic check
106,9546-CQJSU,0.8588,Critical,Month-to-month,2,91.4,Electronic check
107,3801-HMYNL,0.8582,Critical,Month-to-month,1,89.15,Mailed check
108,2074-GKOWZ,0.8582,Critical,Month-to-month,2,89.55,Bank transfer (automatic)
109,4844-JJWUY,0.858,Critical,Month-to-month,1,86.0,Electronic check
110,7594-RQHXR,0.857,Critical,Month-to-month,1,79.6,Electronic check
111,1374-DMZUI,0.8569,Critical,Month-to-month,4,94.3,Electronic check
112,4929-XIHVW,0.8568,Critical,Month-to-month,2,95.5,Credit card (automatic)
113,1761-AEZZR,0.8567,Critical,Month-to-month,1,79.55,Electronic check
114,2202-CUYXZ,0.8567,Critical,Month-to-month,1,84.85,Electronic check
115,1157-BQCUW,0.8563,Critical,Month-to-month,1,74.95,Electronic check
116,6358-LYNGM,0.8554,Critical,Month-to-month,1,74.9,Electronic check
117,2868-MZAGQ,0.8546,Critical,Month-to-month,1,79.25,Electronic check
118,6474-FVJLC,0.854,Critical,Month-to-month,2,86.0,Electronic check
119,5597-GLBUC,0.8533,Critical,Month-to-month,1,85.45,Electronic check
120,7294-TMAOP,0.853,Critical,Month-to-month,1,90.55,Electronic check
121,6857-VWJDT,0.8525,Critical,Month-to-month,1,95.65,Mailed check
122,0880-TKATG,0.8524,Critical,Month-to-month,4,101.15,Electronic check
123,5834-ASPWA,0.8522,Critical,Month-to-month,1,75.45,Electronic check
124,9223-UCPVT,0.8518,Critical,Month-to-month,1,94.4,Electronic check
125,2609-IAICY,0.8513,Critical,Month-to-month,1,77.15,Electronic check
126,2034-GDRCN,0.8512,Critical,Month-to-month,2,90.4,Electronic check
127,8884-ADFVN,0.8512,Critical,Month-to-month,7,101.95,Electronic check
128,8821-XNHVZ,0.8509,Critical,Month-to-month,1,80.05,Mailed check
129,6356-ELRKD,0.8505,Critical,Month-to-month,1,95.6,Electronic check
130,0259-GBZSH,0.8496,Critical,Month-to-month,2,85.65,Electronic check
131,0196-VULGZ,0.8494,Critical,Month-to-month,6,84.35,Electronic check
132,9897-KXHCM,0.8487,Critical,Month-to-month,3,80.3,Electronic check
133,2004-OCQXK,0.8485,Critical,Month-to-month,1,81.95,Electronic check
134,4614-NUVZD,0.8485,Critical,Month-to-month,1,81.1,Electronic check
135,5797-APWZC,0.8485,Critical,Month-to-month,1,90.6,Electronic check
136,1143-NMNQJ,0.8474,Critical,Month-to-month,2,85.7,Electronic check
137,5095-AESKG,0.8471,Critical,Month-to-month,3,91.5,Credit card (automatic)
138,1628-BIZYP,0.8471,Critical,Month-to-month,1,85.0,Electronic check
139,4587-VVTOX,0.8467,Critical,Month-to-month,6,105.3,Electronic check
140,6892-EZDTG,0.8457,Critical,Month-to-month,4,91.65,Electronic check
141,4952-YSOGZ,0.8448,Critical,Month-to-month,4,85.95,Electronic check
142,0702-PGIBZ,0.844,Critical,Month-to-month,4,101.7,Electronic check
143,0754-UKWQP,0.843,Critical,Month-to-month,2,95.85,Electronic check
144,6457-USBER,0.8426,Critical,Month-to-month,1,80.8,Electronic check
145,8058-INTPH,0.8423,Critical,Month-to-month,1,79.65,Electronic check
146,7439-DKZTW,0.8404,Critical,Month-to-month,1,80.55,Electronic check
147,5960-WPXQM,0.8404,Critical,Month-to-month,1,79.05,Electronic check
148,7503-ZGUZJ,0.84,Critical,Month-to-month,1,84.65,Mailed check
149,7493-TPUWZ,0.8394,Critical,Month-to-month,1,79.15,Electronic check
150,2880-FPNAE,0.8385,Critical,Month-to-month,2,74.2,Electronic check
151,2514-GINMM,0.8364,Critical,Month-to-month,1,79.5,Electronic check
152,1846-XWOQN,0.8361,Critical,Month-to-month,1,70.15,Electronic check
153,4086-YQSNZ,0.8359,Critical,Month-to-month,3,80.4,Electronic check
154,5167-ZFFMM,0.8352,Critical,Month-to-month,1,90.85,Credit card (automatic)
155,3841-CONLJ,0.8337,Critical,Month-to-month,1,35.0,Electronic check
156,9681-OXGVC,0.8324,Critical,Month-to-month,5,100.5,Electronic check
157,1024-GUALD,0.8322,Critical,Month-to-month,1,24.8,Electronic check
158,5299-SJCZT,0.8312,Critical,Month-to-month,3,101.55,Bank transfer (automatic)
159,9799-CAYJJ,0.8305,Critical,Month-to-month,2,69.3,Electronic check
160,9603-OAIHC,0.8304,Critical,Month-to-month,1,70.05,Electronic check
161,8062-YBDOE,0.8304,Critical,Month-to-month,1,69.65,Electronic check
162,4871-JTKJF,0.8303,Critical,Month-to-month,1,69.65,Electronic check
163,5550-VFRLC,0.8303,Critical,Month-to-month,1,69.85,Electronic check
164,2636-ALXXZ,0.8303,Critical,Month-to-month,1,69.6,Electronic check
165,3643-AHCFP,0.8297,Critical,Month-to-month,7,95.6,Bank transfer (automatic)
166,3519-ZKXGG,0.8292,Critical,Month-to-month,3,75.85,Electronic check
167,7908-QCBCA,0.8279,Critical,Month-to-month,1,69.4,Mailed check
168,4192-GORJT,0.8278,Critical,Month-to-month,5,94.45,Electronic check
169,7321-VGNKU,0.8272,Critical,Month-to-month,2,70.35,Electronic check
170,1273-MTETI,0.8272,Critical,Month-to-month,4,88.85,Electronic check
171,7932-WPTDS,0.8266,Critical,Month-to-month,1,24.8,Electronic check
172,3878-AVSOQ,0.8265,Critical,Month-to-month,1,71.25,Electronic check
173,7206-GZCDC,0.8265,Critical,Month-to-month,1,69.25,Electronic check
174,0897-FEGMU,0.8262,Critical,Month-to-month,11,99.5,Electronic check
175,3318-NMQXL,0.8262,Critical,Month-to-month,3,92.0,Electronic check
176,8835-VSDSE,0.8258,Critical,Month-to-month,2,70.7,Electronic check
177,8051-HJRLT,0.8256,Critical,Month-to-month,1,70.55,Electronic check
178,8000-REIQB,0.8256,Critical,Month-to-month,1,69.95,Electronic check
179,4750-ZRXIU,0.8254,Critical,Month-to-month,4,84.6,Electronic check
180,1304-NECVQ,0.8247,Critical,Month-to-month,2,78.55,Electronic check
181,3902-FOIGH,0.8245,Critical,Month-to-month,12,101.35,Electronic check
182,5561-NWEVX,0.8238,Critical,Month-to-month,2,79.2,Electronic check
183,7817-BOQPW,0.8232,Critical,Month-to-month,2,75.55,Electronic check
184,5583-SXDAG,0.8228,Critical,Month-to-month,1,70.0,Electronic check
185,9611-CTWIH,0.8226,Critical,Month-to-month,3,89.45,Electronic check
186,5383-MMTWC,0.822,Critical,Month-to-month,8,84.0,Electronic check
187,4713-LZDRV,0.822,Critical,Month-to-month,2,79.6,Electronic check
188,3319-DWOEP,0.8219,Critical,Month-to-month,6,95.75,Electronic check
189,0637-KVDLV,0.8218,Critical,Month-to-month,2,76.5,Electronic check
190,9061-TIHDA,0.8216,Critical,Month-to-month,13,95.25,Electronic check
191,6688-UZPWD,0.8212,Critical,Month-to-month,11,102.0,Electronic check
192,7615-ESMYF,0.821,Critical,Month-to-month,2,44.6,Electronic check
193,3296-SILRA,0.8205,Critical,Month-to-month,1,76.4,Mailed check
194,1086-LXKFY,0.8198,Critical,Month-to-month,1,69.1,Mailed check
195,5644-PDMZC,0.8193,Critical,Month-to-month,2,89.5,Electronic check
196,1062-LHZOD,0.8187,Critical,Month-to-month,1,69.9,Mailed check
197,6618-RYATB,0.8179,Critical,Month-to-month,1,79.55,Mailed check
198,9944-HKVVB,0.8175,Critical,Month-to-month,3,95.1,Electronic check
199,7341-LXCAF,0.8173,Critical,Month-to-month,4,74.65,Electronic check
200,9689-PTNPG,0.817,Critical,Month-to-month,2,80.25,Electronic check
201,3797-VTIDR,0.8168,Critical,Month-to-month,1,23.45,Electronic check
202,4550-EVXNY,0.8166,Critical,Month-to-month,1,69.65,Electronic check
203,6960-HVYXR,0.8164,Critical,Month-to-month,1,76.0,Electronic check
204,3776-EKTKM,0.8162,Critical,Month-to-month,1,36.45,Electronic check
205,8593-WHYHV,0.8162,Critical,Month-to-month,3,85.3,Electronic check
206,1981-INRFU,0.8159,Critical,Month-to-month,2,79.75,Electronic check
207,4529-CKBCL,0.8159,Critical,Month-to-month,2,80.2,Electronic check
208,4702-IOQDC,0.8153,Critical,Month-to-month,1,70.1,Electronic check
209,1031-IIDEO,0.8153,Critical,Month-to-month,1,70.85,Electronic check
210,0328-GRPMV,0.8153,Critical,Month-to-month,1,70.1,Electronic check
211,9444-JTXHZ,0.8151,Critical,Month-to-month,1,76.2,Electronic check
212,3727-RJMEO,0.8147,Critical,Month-to-month,6,82.85,Electronic check
213,2865-TCHJW,0.8144,Critical,Month-to-month,4,89.2,Electronic check
214,5956-VKDTT,0.8143,Critical,Month-to-month,5,74.35,Electronic check
215,7254-IQWOZ,0.8143,Critical,Month-to-month,1,69.65,Electronic check
216,5542-TBBWB,0.8143,Critical,Month-to-month,1,69.9,Electronic check
217,7465-ZZRVX,0.8143,Critical,Month-to-month,1,70.35,Electronic check
218,4603-JANFB,0.8143,Critical,Month-to-month,1,69.85,Electronic check
219,2982-IHMFT,0.8142,Critical,Month-to-month,1,74.45,Mailed check
220,7665-TOALD,0.814,Critical,Month-to-month,1,69.6,Electronic check
221,5376-DEQCP,0.814,Critical,Month-to-month,1,70.6,Electronic check
222,1640-PLFMP,0.814,Critical,Month-to-month,1,70.25,Electronic check
223,0697-ZMSWS,0.8137,Critical,Month-to-month,4,85.65,Electronic check
224,6653-CBBOM,0.8132,Critical,Month-to-month,1,70.3,Electronic check
225,3244-DCJWY,0.8132,Critical,Month-to-month,1,70.25,Electronic check
226,7660-HDPJV,0.8132,Critical,Month-to-month,1,69.2,Electronic check
227,8380-PEFPE,0.8128,Critical,Month-to-month,1,71.65,Electronic check
228,5875-YPQFJ,0.8128,Critical,Month-to-month,1,69.9,Electronic check
229,2446-PLQVO,0.8128,Critical,Month-to-month,1,70.3,Electronic check
230,6457-GIRWB,0.8128,Critical,Month-to-month,1,69.35,Electronic check
231,2012-NWRPA,0.8118,Critical,Month-to-month,11,99.55,Electronic check
232,2446-BEGGB,0.8118,Critical,Month-to-month,6,98.25,Electronic check
233,0235-KGSLC,0.8117,Critical,Month-to-month,1,85.55,Credit card (automatic)
234,6424-ELEYH,0.8117,Critical,Month-to-month,3,74.75,Credit card (automatic)
235,5052-PNLOS,0.8117,Critical,Month-to-month,3,105.35,Bank transfer (automatic)
236,6996-KNSML,0.8114,Critical,Month-to-month,1,74.9,Electronic check
237,3707-GNWHM,0.8113,Critical,Month-to-month,1,74.25,Mailed check
238,6350-XFYGW,0.8112,Critical,Month-to-month,4,94.75,Electronic check
239,2959-MJHIC,0.8108,Critical,Month-to-month,4,80.35,Electronic check
240,4853-OITSN,0.8102,Critical,Month-to-month,5,89.15,Electronic check
241,9488-HGMJH,0.8099,Critical,Month-to-month,1,71.15,Electronic check
242,7409-KIUTL,0.8099,Critical,Month-to-month,1,71.0,Electronic check
243,8375-DKEBR,0.8099,Critical,Month-to-month,1,69.6,Electronic check
244,9605-WGJVW,0.8099,Critical,Month-to-month,1,70.2,Electronic check
245,8258-GSTJK,0.8093,Critical,Month-to-month,3,77.0,Electronic check
246,1455-UGQVH,0.8093,Critical,Month-to-month,10,98.5,Electronic check
247,4510-HIMLV,0.8091,Critical,Month-to-month,1,69.8,Electronic check
248,3716-BDVDB,0.8091,Critical,Month-to-month,1,69.1,Electronic check
249,3494-JCHRQ,0.8091,Critical,Month-to-month,1,70.05,Electronic check
250,6502-MJQAE,0.8091,Critical,Month-to-month,1,69.6,Electronic check
251,4795-KTRTH,0.809,Critical,Month-to-month,5,81.0,Electronic check
252,9134-CEQMF,0.8088,Critical,Month-to-month,7,89.5,Electronic check
253,0220-EBGCE,0.8077,Critical,Month-to-month,2,85.85,Electronic check
254,6772-KSATR,0.8074,Critical,Month-to-month,1,81.7,Electronic check
255,5196-SGOAK,0.8069,Critical,Month-to-month,1,75.7,Electronic check
256,3765-JXVKY,0.8069,Critical,Month-to-month,1,74.7,Electronic check
257,9728-FTTVZ,0.8063,Critical,Month-to-month,1,69.2,Electronic check
258,0488-GSLFR,0.8063,Critical,Month-to-month,1,69.5,Electronic check
259,4140-MUHUG,0.8062,Critical,Month-to-month,3,86.85,Electronic check
260,3091-FYHKI,0.8059,Critical,Month-to-month,1,35.45,Electronic check
261,1618-CFHME,0.8055,Critical,Month-to-month,2,75.9,Electronic check
262,3621-CEOVK,0.8051,Critical,Month-to-month,14,100.2,Electronic check
263,2777-PHDEI,0.8049,Critical,Month-to-month,1,78.05,Electronic check
264,9019-QVLZD,0.8049,Critical,Month-to-month,1,79.55,Electronic check
265,5393-RXQSZ,0.8048,Critical,Month-to-month,1,79.6,Electronic check
266,2867-UIMSS,0.8048,Critical,Month-to-month,1,80.5,Electronic check
267,1977-STDKI,0.8045,Critical,Month-to-month,1,73.0,Electronic check
268,8779-QRDMV,0.8043,Critical,Month-to-month,1,39.65,Electronic check
269,8972-HJWNV,0.8043,Critical,Month-to-month,7,84.55,Electronic check
270,8086-OVPWV,0.8043,Critical,Month-to-month,2,80.2,Electronic check
271,9878-TNQGW,0.8043,Critical,Month-to-month,2,80.95,Electronic check
272,1820-TQVEV,0.8032,Critical,Month-to-month,1,69.55,Electronic check
273,8644-XLFBW,0.803,Critical,Month-to-month,1,71.65,Electronic check
274,5539-TMZLF,0.803,Critical,Month-to-month,1,69.75,Electronic check
275,2485-ITVKB,0.803,Critical,Month-to-month,2,35.1,Electronic check
276,0187-QSXOE,0.8027,Critical,Month-to-month,7,89.0,Electronic check
277,9514-JDSKI,0.802,Critical,Month-to-month,1,40.2,Electronic check
278,7590-VHVEG,0.8018,Critical,Month-to-month,1,29.85,Electronic check
279,0375-HVGXO,0.8016,Critical,Month-to-month,1,34.7,Electronic check
280,0841-NULXI,0.8015,Critical,Month-to-month,1,35.55,Electronic check
281,7225-CBZPL,0.8013,Critical,Month-to-month,17,94.8,Electronic check
282,0742-NXBGR,0.8007,Critical,Month-to-month,1,82.3,Electronic check
283,5685-IIXLY,0.8005,Critical,Month-to-month,5,83.6,Electronic check
284,3276-HDUEG,0.8002,Critical,Month-to-month,1,75.05,Mailed check
285,7314-OXENN,0.8,Critical,Month-to-month,2,82.0,Electronic check
286,6702-OHFWR,0.7995,Critical,Month-to-month,1,43.3,Electronic check
287,3428-XZMAZ,0.7994,Critical,Month-to-month,1,69.35,Electronic check
288,5570-PTWEH,0.7994,Critical,Month-to-month,3,75.15,Credit card (automatic)
289,9804-ICWBG,0.7994,Critical,Month-to-month,1,69.9,Electronic check
290,7668-XCFYV,0.7993,Critical,Month-to-month,17,92.55,Electronic check
291,5349-IECLD,0.7992,Critical,Month-to-month,2,94.95,Electronic check
292,1075-BGWOH,0.7991,Critical,Month-to-month,16,98.75,Electronic check
293,0137-OCGAB,0.799,Critical,Month-to-month,1,80.2,Mailed check
294,8348-HFYIV,0.7984,Critical,Month-to-month,2,49.25,Electronic check
295,1925-TIBLE,0.7968,Critical,Month-to-month,7,86.5,Electronic check
296,8622-ZLFKO,0.7966,Critical,Month-to-month,6,90.75,Electronic check
297,9885-CSMWE,0.7966,Critical,Month-to-month,1,78.45,Electronic check
298,4548-SDBKE,0.7965,Critical,Month-to-month,5,85.2,Electronic check
299,9850-OWRHQ,0.7953,Critical,Month-to-month,3,74.1,Credit card (automatic)
300,2737-WFVYW,0.7949,Critical,Month-to-month,2,45.25,Electronic check
301,7488-MXJIV,0.7948,Critical,Month-to-month,4,85.65,Electronic check
302,5378-IKEEG,0.7945,Critical,Month-to-month,1,35.75,Electronic check
303,2254-DLXRI,0.7936,Critical,Month-to-month,1,79.15,Mailed check
304,0680-DFNNY,0.7933,Critical,Month-to-month,15,101.1,Electronic check
305,6161-UUUTA,0.7933,Critical,Month-to-month,3,79.9,Electronic check
306,4581-SSPWD,0.7928,Critical,Month-to-month,3,75.8,Electronic check
307,9306-CPCBC,0.7928,Critical,Month-to-month,3,74.25,Electronic check
308,8945-GRKHX,0.7926,Critical,Month-to-month,1,78.65,Electronic check
309,4234-XTNEA,0.7918,Critical,Month-to-month,2,79.95,Electronic check
310,3049-NDXFL,0.7918,Critical,Month-to-month,1,85.8,Mailed check
311,2982-VPSGI,0.7915,Critical,Month-to-month,11,94.0,Electronic check
312,3295-YVUSR,0.7915,Critical,Month-to-month,2,72.6,Mailed check
313,8413-VONUO,0.7912,Critical,Month-to-month,2,95.65,Electronic check
314,8382-SHQEH,0.7906,Critical,Month-to-month,8,84.9,Electronic check
315,7228-OMTPN,0.7904,Critical,Month-to-month,4,88.45,Electronic check
316,2462-XIIJB,0.7898,Critical,Month-to-month,5,92.5,Electronic check
317,8361-LTMKD,0.7895,Critical,Month-to-month,4,74.4,Mailed check
318,4273-MBHYA,0.7895,Critical,Month-to-month,1,89.35,Electronic check
319,2013-SGDXK,0.7895,Critical,Month-to-month,1,84.3,Electronic check
320,9957-YODKZ,0.7894,Critical,Month-to-month,6,80.8,Electronic check
321,3422-GALYP,0.7892,Critical,Month-to-month,2,79.45,Electronic check
322,2905-KFQUV,0.7891,Critical,Month-to-month,2,70.4,Credit card (automatic)
323,5564-NEMQO,0.788,Critical,Month-to-month,1,75.3,Bank transfer (automatic)
324,4342-HENTK,0.7873,Critical,Month-to-month,2,70.65,Electronic check
325,7576-OYWBN,0.7872,Critical,Month-to-month,3,76.05,Electronic check
326,5275-SQEIZ,0.787,Critical,Month-to-month,1,80.85,Mailed check
327,3387-VATUS,0.7866,Critical,Month-to-month,5,94.85,Bank transfer (automatic)
328,7568-PODML,0.7865,Critical,Month-to-month,1,45.3,Mailed check
329,8414-MYSHR,0.786,Critical,Month-to-month,5,91.4,Electronic check
330,1320-HTRDR,0.786,Critical,Month-to-month,3,75.5,Electronic check
331,0781-LKXBR,0.786,Critical,Month-to-month,9,100.5,Electronic check
332,5835-BEQEU,0.7859,Critical,Month-to-month,3,76.95,Electronic check
333,0812-WUPTB,0.7854,Critical,Month-to-month,1,70.85,Mailed check
334,5119-NZPTV,0.7851,Critical,Month-to-month,2,70.1,Electronic check
335,2077-MPJQO,0.7838,Critical,Month-to-month,7,75.4,Electronic check
336,7379-POKDZ,0.7837,Critical,Month-to-month,3,70.3,Electronic check
337,5186-SAMNZ,0.7836,Critical,Month-to-month,1,69.5,Bank transfer (automatic)
338,0334-GDDSO,0.7828,Critical,Month-to-month,3,81.35,Electronic check
339,1678-FYZOW,0.7826,Critical,Month-to-month,3,79.4,Electronic check
340,4090-KPJIP,0.7819,Critical,Month-to-month,3,74.95,Electronic check
341,4274-OWWYO,0.7817,Critical,Month-to-month,1,74.35,Electronic check
342,5054-IEXZT,0.7817,Critical,Month-to-month,1,75.35,Electronic check
343,8337-UPOAQ,0.7812,Critical,Month-to-month,10,89.8,Electronic check
344,7074-IEVOJ,0.7806,Critical,Month-to-month,3,79.4,Electronic check
345,0388-EOPEX,0.7805,Critical,Month-to-month,2,74.4,Electronic check
346,2636-OHFMN,0.7787,Critical,Month-to-month,4,48.55,Electronic check
347,2929-ERCFZ,0.7782,Critical,Month-to-month,8,94.2,Electronic check
348,4822-RVYBB,0.7773,Critical,Month-to-month,8,100.6,Electronic check
349,9231-ZJYAM,0.7771,Critical,Month-to-month,4,78.85,Electronic check
350,1746-TGTWV,0.7769,Critical,Month-to-month,1,75.35,Credit card (automatic)
351,1389-CXMLU,0.7763,Critical,Month-to-month,3,91.05,Electronic check
352,6100-QQHEB,0.7761,Critical,Month-to-month,17,92.55,Electronic check
353,4813-HQMGZ,0.7758,Critical,Month-to-month,8,90.25,Electronic check
354,2789-HQBOU,0.7758,Critical,Month-to-month,3,80.35,Electronic check
