CustomerID,churn_probability,risk_band,in_mailer_list
0685-MLYYM,0.6943,Critical,0
7538-GWHML,0.6943,Critical,0
1184-PJVDB,0.6942,Critical,0
9647-ERGBE,0.6938,Critical,0
0023-XUOPT,0.693,Critical,0
6705-LXORM,0.6926,Critical,0
0122-OAHPZ,0.692,Critical,0
2123-AGEEN,0.692,Critical,0
7240-ETPTR,0.6919,Critical,0
1450-GALXR,0.6915,Critical,0
4395-PZMSN,0.6914,Critical,0
9747-DDZOS,0.6914,Critical,0
5027-QPKTE,0.6911,Critical,0
2740-TVLFN,0.6909,Critical,0
6993-OHLXR,0.6907,Critical,0
8808-ELEHO,0.6906,Critical,0
8040-MNRTF,0.6904,Critical,0
5442-BHQNG,0.6904,Critical,0
7295-JOMMD,0.6903,Critical,0
7156-MHUGY,0.6898,Critical,0
6941-PMGEP,0.6893,Critical,0
7613-LLQFO,0.6891,Critical,0
6683-VLCTZ,0.689,Critical,0
5244-IRFIH,0.689,Critical,0
9050-IKDZA,0.6889,Critical,0
6507-ZJSUR,0.6889,Critical,0
6851-WEFYX,0.6889,Critical,0
0432-CAJZV,0.6889,Critical,0
4094-NSEDU,0.6886,Critical,0
4137-BTIKL,0.6885,Critical,0
8714-CTZJW,0.6885,Critical,0
0840-DFEZH,0.6884,Critical,0
3143-JQEGI,0.6884,Critical,0
6110-OHIHY,0.6884,Critical,0
2685-SREOM,0.6881,Critical,0
2468-SJFLM,0.688,Critical,0
5940-NFXKV,0.6878,Critical,0
8519-IMDHU,0.6877,Critical,0
3496-LFSZU,0.6877,Critical,0
6502-HCJTI,0.6875,Critical,0
9330-IJWIO,0.6874,Critical,0
1602-IJQQE,0.687,Critical,0
2754-SDJRD,0.6861,Critical,0
0519-XUZJU,0.6857,Critical,0
0511-JTEOY,0.6857,Critical,0
3992-YWPKO,0.6849,Critical,0
3138-BKYAV,0.6849,Critical,0
3338-CVVEH,0.6845,Critical,0
4236-XPXAV,0.6842,Critical,0
6923-JHPMP,0.6838,Critical,0
1867-BDVFH,0.6837,Critical,0
1564-NTYXF,0.6835,Critical,0
0848-ZGQIJ,0.6827,Critical,0
3751-KTZEL,0.6825,Critical,0
2575-GFSOE,0.6824,Critical,0
8266-VBFQL,0.6822,Critical,0
2952-QAYZF,0.6818,Critical,0
8433-WXGNA,0.6818,Critical,0
5940-AHUHD,0.6816,Critical,0
0302-JOIVN,0.6815,Critical,0
4367-NHWMM,0.6812,Critical,0
4184-TJFAN,0.6805,Critical,0
6260-ONULR,0.6803,Critical,0
7479-NITWS,0.6802,Critical,0
2180-DXNEG,0.6802,Critical,0
2369-UAPKZ,0.6797,Critical,0
8087-LGYHQ,0.6796,Critical,0
5916-QEWPT,0.6796,Critical,0
4910-AQFFX,0.6794,Critical,0
5429-LWCMV,0.6793,Critical,0
0411-EZJZE,0.6792,Critical,0
2674-MIAHT,0.6791,Critical,0
2235-DWLJU,0.6788,Critical,0
8510-AWCXC,0.6788,Critical,0
0115-TFERT,0.6786,Critical,0
2568-BRGYX,0.6782,Critical,0
0004-TLHLJ,0.6781,Critical,0
6376-GAHQE,0.6771,Critical,0
1200-TUZHR,0.6767,Critical,0
6435-SRWBJ,0.6766,Critical,0
7858-GTZSP,0.6764,Critical,0
4566-NECEV,0.6763,Critical,0
0722-SVSFK,0.6759,Critical,0
1976-CFOCS,0.6759,Critical,0
7537-RBWEA,0.6757,Critical,0
9402-ORRAH,0.6756,Critical,0
6390-DSAZX,0.6754,Critical,0
9588-OZDMQ,0.6747,Critical,0
0258-NOKBL,0.6743,Critical,0
0345-HKJVM,0.6742,Critical,0
4749-VFKVB,0.6737,Critical,0
0151-ONTOV,0.6735,Critical,0
4110-PFEUZ,0.6735,Critical,0
8844-TONUD,0.6734,Critical,0
3565-UNOCC,0.6734,Critical,0
8397-MVTAZ,0.6732,Critical,0
6319-IEJWJ,0.6729,Critical,0
0746-JTRFU,0.6727,Critical,0
7861-UVUFT,0.6725,Critical,0
9239-ZBZZV,0.6724,Critical,0
2080-GKCWQ,0.6723,Critical,0
6215-NQCPY,0.6721,Critical,0
5832-XKAES,0.672,Critical,0
0923-PNFUB,0.6716,Critical,0
2691-NZETQ,0.6715,Critical,0
6437-UKHMV,0.6711,Critical,0
4301-VVZKA,0.671,Critical,0
3427-GGZZI,0.6708,Critical,0
5216-WASFJ,0.6699,Critical,0
2249-YPRNG,0.6697,Critical,0
2868-SNELZ,0.6696,Critical,0
3990-QYKBE,0.6692,Critical,0
4521-YEEHE,0.6689,Critical,0
2057-ZBLPD,0.6686,Critical,0
9227-LUNBG,0.6686,Critical,0
6393-WRYZE,0.6684,Critical,0
5339-PXDVH,0.6684,Critical,0
7130-VTEWQ,0.668,Critical,0
8541-QVFKM,0.668,Critical,0
7851-FLGGQ,0.668,Critical,0
6680-WKXRZ,0.6677,Critical,0
5956-YHHRX,0.6676,Critical,0
9136-ALYBR,0.6675,Critical,0
6032-IGALN,0.6659,Critical,0
2840-XANRC,0.6659,Critical,0
8404-GFGCZ,0.6658,Critical,0
0524-IAVZO,0.6651,Critical,0
4373-MAVJG,0.6649,Critical,0
3074-GQWYX,0.6643,Critical,0
2038-OEQZH,0.664,Critical,0
5884-GCYMI,0.6638,Critical,0
2876-GZYZC,0.6638,Critical,0
1268-ASBGA,0.6635,Critical,0
9809-IMGCQ,0.6635,Critical,0
4349-GFQHK,0.6634,Critical,0
3292-PBZEJ,0.6633,Critical,0
5889-LFOLL,0.6631,Critical,0
2754-VDLTR,0.663,Critical,0
7209-JCUDS,0.6625,Critical,0
7402-EYFXX,0.6625,Critical,0
1195-OIYEJ,0.6622,Critical,0
9992-RRAMN,0.662,Critical,0
5117-IFGPS,0.6618,Critical,0
0378-NHQXU,0.6617,Critical,0
3165-HDOEW,0.6617,Critical,0
8617-ENBDS,0.6617,Critical,0
4514-GFCFI,0.6615,Critical,0
7969-AULMZ,0.6612,Critical,0
3372-KWFBM,0.6611,Critical,0
5519-YLDGW,0.661,Critical,0
2325-NBPZG,0.6609,Critical,0
4854-CIDCF,0.6609,Critical,0
3346-BRMIS,0.66,Critical,0
9741-YLNTD,0.6596,Critical,0
9903-LYSAB,0.6594,Critical,0
0396-YCHWO,0.6593,Critical,0
4855-SNKMY,0.659,Critical,0
3217-FZDMN,0.659,Critical,0
3030-YDNRM,0.6589,Critical,0
0654-HMSHN,0.6588,Critical,0
1028-FFNJK,0.6588,Critical,0
9572-WUKSB,0.6586,Critical,0
4112-LUEIZ,0.6585,Critical,0
9576-ANLXO,0.6583,Critical,0
2026-TGDHM,0.6581,Critical,0
6060-DRTNL,0.6579,Critical,0
0772-GYEQQ,0.6579,Critical,0
7881-EVUAD,0.6578,Critical,0
0330-IVZHA,0.6576,Critical,0
5842-POCOP,0.6575,Critical,0
2568-OIADY,0.6574,Critical,0
4559-UWIHT,0.6573,Critical,0
5868-CZJDR,0.6571,Critical,0
2398-YPMUR,0.657,Critical,0
6128-CZOMY,0.6567,Critical,0
9121-PHQSR,0.6565,Critical,0
6116-RFVHN,0.6555,Critical,0
1285-OKIPP,0.6552,Critical,0
0709-TVGUR,0.6552,Critical,0
4039-HEUNW,0.6551,Critical,0
8875-AKBYH,0.655,Critical,0
3585-ISXZP,0.6547,Critical,0
1173-XZPYF,0.6546,Critical,0
2722-JMONI,0.6545,Critical,0
4077-CROMM,0.6544,Critical,0
8436-BJUMM,0.6543,Critical,0
8708-XPXHZ,0.6543,Critical,0
3753-TSEMP,0.654,Critical,0
9250-WYPLL,0.6539,Critical,0
6198-ZFIOJ,0.6539,Critical,0
6711-FLDFB,0.6537,Critical,0
2774-LVQUS,0.6533,Critical,0
2379-ENZGV,0.6533,Critical,0
6689-TCZHQ,0.6525,Critical,0
8118-LSUEL,0.6515,Critical,0
6860-YRJZP,0.6513,Critical,0
3334-CTHOL,0.6512,Critical,0
6400-BWQKW,0.6507,Critical,0
2397-BRLOM,0.6506,Critical,0
3199-XGZCY,0.6503,Critical,0
1104-TNLZA,0.6503,Critical,0
4884-ZTHVF,0.6502,Critical,0
7079-QRCBC,0.6496,Critical,0
9095-HFAFX,0.6494,Critical,0
0378-TOVMS,0.6492,Critical,0
2439-LYPMQ,0.6491,Critical,0
7442-YGZFK,0.649,Critical,0
3045-XETSH,0.649,Critical,0
1704-NRWYE,0.6488,Critical,0
6986-IXNDM,0.6481,Critical,0
9565-DJPIB,0.648,Critical,0
7802-EFKNY,0.6479,Critical,0
5219-YIPTK,0.6477,Critical,0
7638-QVMVY,0.6473,Critical,0
4074-SJFFA,0.6473,Critical,0
1522-VVDMG,0.6472,Critical,0
5701-YVSVF,0.6472,Critical,0
4351-QLCSU,0.6463,Critical,0
0133-BMFZO,0.646,Critical,0
1751-NCDLI,0.6454,Critical,0
4423-YLHDV,0.6453,Critical,0
4445-ZJNMU,0.6453,Critical,0
2985-FMWYF,0.6452,Critical,0
6166-ILMNY,0.6452,Critical,0
2800-VEQXM,0.6452,Critical,0
8035-PWSEV,0.6443,Critical,0
9360-OMDZZ,0.644,Critical,0
5077-DXTCG,0.6437,Critical,0
4433-JCGCG,0.6434,Critical,0
7176-WIONM,0.6429,Critical,0
3629-ZNKXA,0.6428,Critical,0
7952-OBOYL,0.6426,Critical,0
7005-CCBKV,0.6423,Critical,0
9279-CJEOJ,0.6423,Critical,0
5382-SOYZL,0.6421,Critical,0
3001-CBHLQ,0.6415,Critical,0
2845-AFFTX,0.6415,Critical,0
7142-HVGBG,0.6413,Critical,0
9696-RMYBA,0.6411,Critical,0
2058-DCJBE,0.641,Critical,0
4919-MOAVT,0.6408,Critical,0
3834-XUIFC,0.6407,Critical,0
8111-SLLHI,0.64,Critical,0
8065-YKXKD,0.6399,Critical,0
0135-NMXAP,0.6398,Critical,0
6608-QQLVK,0.6397,Critical,0
4716-HHKQH,0.6392,Critical,0
6030-REHUX,0.6389,Critical,0
6900-PXRMS,0.6388,Critical,0
6000-APYLU,0.6388,Critical,0
3050-GBUSH,0.6387,Critical,0
3249-ZPQRG,0.6384,Critical,0
5883-GTGVD,0.638,Critical,0
3951-NJCVI,0.6379,Critical,0
9912-GVSEQ,0.6375,Critical,0
5044-LRQAQ,0.6373,Critical,0
3866-MDTUB,0.6363,Critical,0
1636-NTNCO,0.6363,Critical,0
6267-DCFFZ,0.6363,Critical,0
9172-JITSM,0.636,Critical,0
2232-DMLXU,0.6347,Critical,0
2688-BHGOG,0.6346,Critical,0
1010-DIAUQ,0.6338,Critical,0
1219-NNDDO,0.6336,Critical,0
3317-HRTNN,0.6336,Critical,0
1342-JPNKI,0.6332,Critical,0
0576-WNXXC,0.633,Critical,0
3957-LXOLK,0.6322,Critical,0
9283-LZQOH,0.6319,Critical,0
7392-YYPYJ,0.6315,Critical,0
8873-GLDMH,0.6314,Critical,0
4029-HPFVY,0.631,Critical,0
4983-CCWMC,0.631,Critical,0
6778-YSNIH,0.6308,Critical,0
2504-DSHIH,0.6307,Critical,0
2135-RXIHG,0.6296,Critical,0
8705-WZCYL,0.6296,Critical,0
2082-CEFLT,0.6296,Critical,0
4373-VVHQL,0.6296,Critical,0
6959-UWKHF,0.6296,Critical,0
1941-HOSAM,0.6295,Critical,0
2209-XADXF,0.6292,Critical,0
7470-MCQTK,0.629,Critical,0
5928-QLDHB,0.6288,Critical,0
4030-VPZBD,0.6286,Critical,0
9600-UDOPK,0.6284,Critical,0
2919-HBCJO,0.6281,Critical,0
4512-ZUIYL,0.6279,Critical,0
5482-PLVPE,0.6274,Critical,0
1891-UAWWU,0.6273,Critical,0
3799-ISUZQ,0.6272,Critical,0
1508-DFXCU,0.6265,Critical,0
3671-SHRSP,0.6261,Critical,0
6907-FLBER,0.626,Critical,0
2386-LAHRK,0.626,Critical,0
4735-ASGMA,0.6254,Critical,0
6918-UMQCG,0.6254,Critical,0
9430-FRQOC,0.6252,Critical,0
6087-MVHJH,0.625,Critical,0
9237-HQITU,0.6247,Critical,0
4929-BSTRX,0.6244,Critical,0
7206-PQBBZ,0.6242,Critical,0
2862-PFNIK,0.6241,Critical,0
5449-FIBXJ,0.624,Critical,0
2979-SXESE,0.6234,Critical,0
6366-ZGQGL,0.6231,Critical,0
6906-ANDWJ,0.623,Critical,0
5976-JCJRH,0.623,Critical,0
8676-TRMJS,0.6225,Critical,0
7912-SYRQT,0.6225,Critical,0
1565-RHDJD,0.6223,Critical,0
5569-OUICF,0.622,Critical,0
8374-XGEJJ,0.622,Critical,0
3663-MITLP,0.622,Critical,0
4317-VTEOA,0.6219,Critical,0
1212-GLHMD,0.6216,Critical,0
7853-OETYL,0.6215,Critical,0
9846-GKXAS,0.6214,Critical,0
8313-NDOIA,0.6214,Critical,0
7137-RYLPP,0.6213,Critical,0
1754-GKYPY,0.6207,Critical,0
6543-XRMYR,0.6197,Critical,0
3647-GMGDH,0.6195,Critical,0
8263-JQAIK,0.6194,Critical,0
6379-RXJRQ,0.6191,Critical,0
0404-SWRVG,0.6191,Critical,0
5357-TZHPP,0.619,Critical,0
4289-DTDKW,0.6188,Critical,0
8714-EUHJO,0.6183,Critical,0
9752-ZNQUT,0.6182,Critical,0
4597-NUCQV,0.618,Critical,0
7831-QGOXH,0.618,Critical,0
2082-OJVTK,0.6174,Critical,0
0674-DGMAQ,0.6173,Critical,0
2041-JIJCI,0.6172,Critical,0
0434-CSFON,0.617,Critical,0
8868-WOZGU,0.6165,Critical,0
3748-FVMZZ,0.6164,Critical,0
1571-SAVHK,0.6163,Critical,0
9734-UYXQI,0.6161,Critical,0
8132-YPVBX,0.616,Critical,0
6338-AVWCY,0.6159,Critical,0
1771-OADNZ,0.6156,Critical,0
3669-LVWZB,0.6148,Critical,0
1932-UEDCX,0.6143,Critical,0
5442-XSDCW,0.6139,Critical,0
6242-MBHPK,0.6136,Critical,0
8634-MPHTR,0.6136,Critical,0
9606-PBKBQ,0.6133,Critical,0
3916-NRPAP,0.6131,Critical,0
7354-OIJLX,0.6131,Critical,0
4633-MKHYU,0.6131,Critical,0
3235-ETOOB,0.613,Critical,0
5119-KEPFY,0.6129,Critical,0
2792-LSHWX,0.6129,Critical,0
5931-FLJJF,0.6129,Critical,0
9734-YWGEX,0.6126,Critical,0
0749-IRGQE,0.6125,Critical,0
0611-DFXKO,0.6125,Critical,0
4706-AXVKM,0.6125,Critical,0
4282-YMKNA,0.6121,Critical,0
1989-PRJHP,0.6117,Critical,0
4652-NNHNY,0.6113,Critical,0
3453-RTHJQ,0.6113,Critical,0
9436-ZBZCT,0.6112,Critical,0
8481-YYXWG,0.611,Critical,0
5896-NPFWW,0.6108,Critical,0
0872-NXJYS,0.6103,Critical,0
2809-ZMYOQ,0.6102,Critical,0
8903-WMRNW,0.6101,Critical,0
4647-MUZON,0.6101,Critical,0
3440-JPSCL,0.6098,Critical,0
7089-IVVAZ,0.6096,Critical,0
1965-AKTSX,0.6094,Critical,0
4236-UJPWO,0.6089,Critical,0
0928-XUTSN,0.6089,Critical,0
9601-BRXPO,0.6087,Critical,0
4587-NUKOX,0.6084,Critical,0
8225-BTJAU,0.6081,Critical,0
2608-BHKFN,0.608,Critical,0
3393-FMZPV,0.608,Critical,0
1583-IHQZE,0.6079,Critical,0
5980-NOPLP,0.6074,Critical,0
9907-SWKKF,0.6069,Critical,0
3312-UUMZW,0.6061,Critical,0
0506-LVNGN,0.6056,Critical,0
2984-MIIZL,0.6054,Critical,0
9895-VFOXH,0.6054,Critical,0
9685-WKZGT,0.6051,Critical,0
7145-FEJWU,0.6051,Critical,0
5288-AHOUP,0.6048,Critical,0
3254-YRILK,0.6044,Critical,0
5047-LHVLY,0.6043,Critical,0
7315-WYOAW,0.6043,Critical,0
5590-BYNII,0.6042,Critical,0
2025-JKFWI,0.6041,Critical,0
6629-CZTTH,0.6039,Critical,0
2272-QAGFO,0.6037,Critical,0
1112-CUNAO,0.6031,Critical,0
4847-QNOKA,0.6029,Critical,0
4763-PGDPO,0.6025,Critical,0
7240-FQLHE,0.6017,Critical,0
1196-AMORA,0.6005,Critical,0
4678-DVQEO,0.6003,Critical,0
1536-HBSWP,0.6003,Critical,0
7786-WBJYI,0.5999,High,0
3223-DWFIO,0.5995,High,0
8650-RHRKE,0.5995,High,0
6581-NQCBA,0.5993,High,0
7284-BUYEC,0.5992,High,0
8260-NGFNY,0.5989,High,0
2107-FBPTK,0.5988,High,0
6651-AZVTJ,0.5986,High,0
3627-FHKBK,0.5985,High,0
0727-IWKVK,0.5983,High,0
6331-EWIEB,0.5983,High,0
5366-IJEQJ,0.5973,High,0
9638-JIQYA,0.5973,High,0
6158-HDPXZ,0.5967,High,0
4385-GZQXV,0.5966,High,0
4658-HCOHW,0.5964,High,0
8709-KRDVL,0.5962,High,0
6821-BUXUX,0.596,High,0
0988-JRWWP,0.596,High,0
3908-BLSYF,0.5956,High,0
5028-GZLDO,0.5948,High,0
0581-BXBUB,0.5946,High,0
3003-CMDUU,0.5944,High,0
0541-FITGH,0.5944,High,0
2815-CPTUL,0.594,High,0
0147-ESWWR,0.5939,High,0
9305-CDSKC,0.5937,High,0
4583-PARNH,0.5931,High,0
5261-QSHQM,0.5925,High,0
5857-TYBCJ,0.5925,High,0
8325-QRPZR,0.5921,High,0
7517-LDMPS,0.5921,High,0
5399-ZIMKF,0.5917,High,0
4291-SHSBH,0.5914,High,0
4059-IIEBK,0.5914,High,0
8445-DNBAE,0.5909,High,0
5364-XYIRR,0.5909,High,0
4686-UXDML,0.5907,High,0
5453-AXEPF,0.5903,High,0
6317-YPKDH,0.5902,High,0
3672-YITQD,0.5896,High,0
6330-JKLPC,0.5893,High,0
5609-CEBID,0.5888,High,0
3717-OEAUQ,0.5887,High,0
6646-VRFOL,0.5883,High,0
1254-IZEYF,0.5882,High,0
5981-ITEMU,0.5881,High,0
8063-GBATB,0.588,High,0
4822-NGOCH,0.588,High,0
7028-DVOIQ,0.5878,High,0
4958-XCBDQ,0.5878,High,0
0354-WYROK,0.5877,High,0
8621-MNIHH,0.5874,High,0
3538-WZPHD,0.5873,High,0
3439-GVUSX,0.5871,High,0
0886-QGENL,0.587,High,0
2357-COQEK,0.5869,High,0
3384-CTMSF,0.5865,High,0
4484-CGXFK,0.5862,High,0
4631-OACRM,0.5862,High,0
5122-CYFXA,0.5857,High,0
1226-IENZN,0.5856,High,0
0256-LTHVJ,0.5852,High,0
0224-RLWWD,0.5847,High,0
6518-LGAOV,0.5846,High,0
6496-JDSSB,0.5846,High,0
4277-PVRAN,0.5846,High,0
8610-WFCJF,0.5844,High,0
2103-ZRXFN,0.5841,High,0
5606-AMZBO,0.5834,High,0
8648-PFRMP,0.5833,High,0
4283-FUTGF,0.5833,High,0
4398-HSCJH,0.583,High,0
4959-JOSRX,0.5829,High,0
8010-EZLOU,0.5828,High,0
0946-CLJTI,0.5827,High,0
5405-ZMYXQ,0.5827,High,0
9048-JVYVF,0.582,High,0
2135-DQWAQ,0.5818,High,0
6715-OFDBP,0.5818,High,0
6877-LGWXO,0.5817,High,0
9840-DVNDC,0.5816,High,0
7056-IMHCC,0.5816,High,0
4817-VYYWS,0.5813,High,0
7511-YMXVQ,0.5808,High,0
7714-YXSMB,0.5805,High,0
6101-IMRMM,0.5804,High,0
8720-RQSBJ,0.5804,High,0
6650-VJONK,0.5802,High,0
4124-MMETB,0.5801,High,0
8861-HGGKB,0.5799,High,0
3318-OSATS,0.5799,High,0
9898-KZQDZ,0.5794,High,0
5628-FCGYG,0.5792,High,0
9921-ZVRHG,0.5791,High,0
2955-BJZHG,0.579,High,0
0265-EDXBD,0.579,High,0
7825-GKXMW,0.5787,High,0
0601-WZHJF,0.5781,High,0
6519-CFDBX,0.578,High,0
6005-OBZPH,0.578,High,0
1194-HVAIF,0.578,High,0
5138-WVKYJ,0.5777,High,0
5599-HVLTW,0.5772,High,0
5228-EXCET,0.5771,High,0
7625-XCQRH,0.5768,High,0
5307-DZCVC,0.5766,High,0
8739-WWKDU,0.5765,High,0
8104-OSKWT,0.5765,High,0
5647-FXOTP,0.5764,High,0
0689-NKYLF,0.5763,High,0
3999-QGRJH,0.576,High,0
1016-DJTSV,0.576,High,0
4154-AQUGT,0.5759,High,0
9824-BEMCV,0.5759,High,0
1262-OPMFY,0.5758,High,0
0899-LIIBW,0.5757,High,0
6595-YGXIT,0.5755,High,0
6899-PPEEA,0.575,High,0
9208-OLGAQ,0.5747,High,0
6833-JMZYP,0.5746,High,0
2187-PKZAY,0.5745,High,0
9398-MMQTO,0.5737,High,0
9574-RKJIF,0.5732,High,0
6029-WTIPC,0.5727,High,0
8543-MSDMF,0.5727,High,0
7422-WNBTY,0.5724,High,0
9961-JBNMK,0.5724,High,0
5087-SUURX,0.5718,High,0
5480-HPRRX,0.5713,High,0
6048-QBXKL,0.5713,High,0
1666-JXLKU,0.5712,High,0
8224-DWCKX,0.5711,High,0
0939-YAPAF,0.571,High,0
8180-AKMJV,0.5703,High,0
8950-MTZNV,0.5693,High,0
5696-QURRL,0.5693,High,0
7663-RGWBC,0.5693,High,0
3566-HJGPK,0.5693,High,0
8485-GJCDN,0.5692,High,0
1475-VWVDO,0.5691,High,0
0420-HLGXF,0.5691,High,0
4299-SIMNS,0.5688,High,0
8993-PHFWD,0.5687,High,0
4706-DGAHW,0.5683,High,0
8080-DDEMJ,0.5683,High,0
9637-EIHEQ,0.568,High,0
5173-WXOQV,0.5679,High,0
6413-XKKPU,0.5676,High,0
3488-PGMQJ,0.5675,High,0
7242-QZLXF,0.567,High,0
9885-AIBVB,0.5669,High,0
8784-CGILN,0.5668,High,0
0310-MVLET,0.5667,High,0
8008-HAWED,0.5665,High,0
6595-COKXZ,0.5661,High,0
7065-YUNRY,0.5661,High,0
5960-MVTUK,0.5659,High,0
0148-DCDOS,0.5659,High,0
3536-IQCTX,0.5659,High,0
